site_year,year,exp_plot_number,block,plot,N_level,N_level_kgha,biomass_plus_bag_g,paper_bag_g,ring_size,num_of_paper_bags,sample_weight_mg,sample_N_ug,NDVI_1,NDVI_2,NDVI_3,NDVI_4
Arbuckle-15,2015,101,1,1,125,125,414.00,45.0,0.5,1.0,4.842,117.07373228,0.77,n/a,n/a,n/a
Arbuckle-15,2015,102,1,2,225,225,472.00,45.0,0.5,1.0,5.122,153.40328537,0.82,n/a,n/a,n/a
Arbuckle-15,2015,103,1,3,0,0,281.00,45.0,0.5,1.0,4.782,64.94293306,0.56,n/a,n/a,n/a
Arbuckle-15,2015,104,1,4,75,75,386.00,45.0,0.5,1.0,5.149,92.86128089,0.72,n/a,n/a,n/a
Arbuckle-15,2015,105,1,5,175,175,455.00,45.0,0.5,1.0,4.928,116.01489494,0.79,n/a,n/a,n/a
Arbuckle-15,2015,201,2,1,0,0,304.00,45.0,0.5,1.0,4.791,70.94088017,0.70,n/a,n/a,n/a
Arbuckle-15,2015,202,2,2,175,175,402.00,45.0,0.5,1.0,4.991,116.01489494,0.81,n/a,n/a,n/a
Arbuckle-15,2015,203,2,3,125,125,322.00,45.0,0.5,1.0,5.1,97.62158939,0.82,n/a,n/a,n/a
Arbuckle-15,2015,204,2,4,225,225,418.00,45.0,0.5,1.0,5.068,143.16820549,0.82,n/a,n/a,n/a
Arbuckle-15,2015,205,2,5,75,75,336.00,45.0,0.5,1.0,5.223,93.07814505,0.73,n/a,n/a,n/a
Arbuckle-15,2015,301,3,1,225,225,411.00,45.0,0.5,1.0,4.892,149.32315349,0.80,n/a,n/a,n/a
Arbuckle-15,2015,302,3,2,125,125,392.00,45.0,0.5,1.0,5.165,111.23579245,0.79,n/a,n/a,n/a
Arbuckle-15,2015,303,3,3,175,175,387.00,45.0,0.5,1.0,4.747,119.18793194,0.81,n/a,n/a,n/a
Arbuckle-15,2015,304,3,4,75,75,326.00,45.0,0.5,1.0,4.908,100.85439671,0.72,n/a,n/a,n/a
Arbuckle-15,2015,305,3,5,0,0,238.00,45.0,0.5,1.0,5.003,73.81673391,0.52,n/a,n/a,n/a
Arbuckle-15,2015,401,4,1,75,75,354.00,45.0,0.5,1.0,5.257,100.20866925,0.75,n/a,n/a,n/a
Arbuckle-15,2015,402,4,2,0,0,215.00,45.0,0.5,1.0,4.806,69.05628054,0.53,n/a,n/a,n/a
Arbuckle-15,2015,403,4,3,225,225,422.00,45.0,0.5,1.0,4.793,128.64449262,0.80,n/a,n/a,n/a
Arbuckle-15,2015,404,4,4,175,175,334.00,45.0,0.5,1.0,5.138,108.99751734,0.78,n/a,n/a,n/a
Arbuckle-15,2015,405,4,5,125,125,365.00,45.0,0.5,1.0,5.207,116.01489494,0.77,n/a,n/a,n/a
RES-15,2015,101,1,1,0,0,221.0,45.0,0.5,1.0,5.194,61.59614515,0.59,n/a,n/a,n/a
RES-15,2015,102,1,2,75,75,251.0,45.0,0.5,1.0,4.924,86.55206510,0.69,n/a,n/a,n/a
RES-15,2015,103,1,3,225,225,347.0,45.0,0.5,1.0,4.87,166.53571748,0.84,n/a,n/a,n/a
RES-15,2015,104,1,4,125,125,296.0,45.0,0.5,1.0,5.24,94.37835702,0.83,n/a,n/a,n/a
RES-15,2015,105,1,5,175,175,301.0,45.0,0.5,1.0,5.06,155.43640128,0.84,n/a,n/a,n/a
RES-15,2015,201,2,1,75,75,287.0,45.0,0.5,1.0,5.241,100.10100746,0.76,n/a,n/a,n/a
RES-15,2015,202,2,2,125,125,296.0,45.0,0.5,1.0,5.46,130.73320882,0.81,n/a,n/a,n/a
RES-15,2015,203,2,3,175,175,345.0,45.0,0.5,1.0,4.853,150.34492397,0.83,n/a,n/a,n/a
RES-15,2015,204,2,4,225,225,354.0,45.0,0.5,1.0,5.101,190.26590483,0.84,n/a,n/a,n/a
RES-15,2015,205,2,5,0,0,239.0,45.0,0.5,1.0,4.916,72.60098219,0.67,n/a,n/a,n/a
RES-15,2015,301,3,1,125,125,332.0,45.0,0.5,1.0,4.871,112.83143288,0.80,n/a,n/a,n/a
RES-15,2015,302,3,2,175,175,372.0,45.0,0.5,1.0,4.794,132.81729166,0.82,n/a,n/a,n/a
RES-15,2015,303,3,3,0,0,236.0,45.0,0.5,1.0,5.248,72.49038980,0.56,n/a,n/a,n/a
RES-15,2015,304,3,4,75,75,284.0,45.0,0.5,1.0,4.945,100.31631945,0.73,n/a,n/a,n/a
RES-15,2015,305,3,5,225,225,338.0,45.0,0.5,1.0,5.342,166.53571748,0.82,n/a,n/a,n/a
RES-15,2015,401,4,1,225,225,315.0,45.0,0.5,1.0,5.368,182.42997611,0.83,n/a,n/a,n/a
RES-15,2015,402,4,2,175,175,302.0,45.0,0.5,1.0,5.354,153.40328537,0.82,n/a,n/a,n/a
RES-15,2015,403,4,3,75,75,331.0,45.0,0.5,1.0,5.354,100.20866925,0.77,n/a,n/a,n/a
RES-15,2015,404,4,4,0,0,236.0,45.0,0.5,1.0,5.306,75.36202718,0.72,n/a,n/a,n/a
RES-15,2015,405,4,5,125,125,301.0,45.0,0.5,1.0,5.157,136.97155726,0.81,n/a,n/a,n/a
Davis-16,2016,101,1,1,75,75,166.1,45.5,0.5,1.0,2.717,53.29990,0.66,0.65,0.64,n/a
Davis-16,2016,102,1,2,225,225,206.0,45.5,0.5,1.0,2.924,92.76540,0.71,0.70,0.72,n/a
Davis-16,2016,103,1,3,0,0,124.3,45.5,0.5,1.0,3.229,48.54785,0.54,0.55,0.58,n/a
Davis-16,2016,104,1,4,125,125,173.1,45.5,0.5,1.0,3.493,67.37167,0.62,0.62,0.63,n/a
Davis-16,2016,105,1,5,175,175,213.4,45.5,0.5,1.0,3.063,73.45179,0.64,0.65,0.65,n/a
Davis-16,2016,201,2,1,75,75,190.8,45.5,0.5,1.0,3.058,64.86438,0.67,0.67,0.66,n/a
Davis-16,2016,202,2,2,0,0,124.0,45.5,0.5,1.0,2.677,41.77288,0.64,0.64,0.65,n/a
Davis-16,2016,203,2,3,225,225,231.2,45.5,0.5,1.0,3.331,102.84377,0.71,0.72,0.71,n/a
Davis-16,2016,204,2,4,175,175,191.4,45.5,0.5,1.0,3.145,88.02575,0.71,0.70,0.68,n/a
Davis-16,2016,205,2,5,125,125,152.1,45.5,0.5,1.0,2.993,55.36533,0.65,0.65,0.67,n/a
Davis-16,2016,301,3,1,0,0,124.4,45.5,0.5,1.0,2.878,42.05932,0.63,0.65,0.65,n/a
Davis-16,2016,302,3,2,175,175,220.5,45.5,0.5,1.0,3.224,86.30298,0.69,0.69,0.69,n/a
Davis-16,2016,303,3,3,125,125,190.7,45.5,0.5,1.0,2.834,48.15475,0.68,0.67,0.67,n/a
Davis-16,2016,304,3,4,75,75,160.5,45.5,0.5,1.0,3.027,53.16786,0.67,0.67,0.66,n/a
Davis-16,2016,305,3,5,225,225,192.1,45.5,0.5,1.0,3.120,64.17796,0.69,0.69,0.69,n/a
Davis-16,2016,401,4,1,75,75,186.0,45.5,0.5,1.0,2.876,59.43337,0.63,0.63,0.64,n/a
Davis-16,2016,402,4,2,125,125,206.4,45.5,0.5,1.0,3.493,72.75485,0.69,0.69,0.68,n/a
Davis-16,2016,403,4,3,175,175,184.2,45.5,0.5,1.0,3.124,89.42034,0.72,0.73,0.72,n/a
Davis-16,2016,404,4,4,0,0,112.1,45.5,0.5,1.0,3.384,51.56300,0.66,0.65,0.65,n/a
Davis-16,2016,405,4,5,225,225,169.9,45.5,0.5,1.0,2.830,69.87497,0.70,0.71,0.71,n/a
